Origin;Destination;Distance Air;Distance Sea;Distance Road;Units Scenario 1;Costs Scenario 1;Units Scenario 2;Costs Scenario 2;Units Scenario 3 Air;Units Scenario 3 Road;Units Scenario 3 Sea;Units Scenario 4 Air;Units Scenario 4 Road;Units Scenario 4 Sea;Units Scenario 5 Air;Units Scenario 5 Road;Units Scenario 5 Sea;Units Scenario 6 Air;Units Scenario 6 Road;Units Scenario 6 Sea
TW;ATVIE;9000.77083;1.00E+30;1.00E+30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TW;PLGDN;8561.65206;21120.81;1.00E+30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34500
TW;FRCDG;9815.46617;1.00E+30;1.00E+30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SHA;ATVIE;8471.37191;1.00E+30;1.00E+30;100000;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0
SHA;PLGDN;7996.13712;21791.15;1.00E+30;134500;0;78500;0;234500;0;0;79500;0;0;34534;0;0;0;0;0
SHA;FRCDG;9243.16306;1.00E+30;1.00E+30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATVIE;PED;220.493192;1.00E+30;283.5746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATVIE;FR6216;1019.75143;1.00E+30;1286.4165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATVIE;RIX;1099.06143;1.00E+30;1362.1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATVIE;GMZ;1263.02225;1.00E+30;1682.0897;100000;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0
PLGDN;PED;519.324007;1.00E+30;655.2272;45000;0;16500;0;0;45000;0;0;24000;0;0;0;0;0;0;0
PLGDN;FR6216;1155.23431;1.00E+30;1426.5703;62000;0;62000;0;0;62000;0;0;55500;0;0;34534;0;0;0;0
PLGDN;RIX;440.476444;626.22;540.0489;27500;0;0;0;0;27500;0;0;0;0;0;0;0;0;0;15000
PLGDN;GMZ;1856.53202;6939.35;2539.2774;0;0;0;0;0;100000;0;0;0;0;0;0;0;0;0;19500
