ID;Latitude;Longitude;Costs per Unit;Type;City;Country;Units Scenario 1;Costs Scenario 1;Units Scenario 2;Costs Scenario 2;Units Scenario 3;Costs Scenario 3;Units Scenario 4;Costs Scenario 4;Units Scenario 5;Costs Scenario 5;Units Scenario 6;Costs Scenario 6
TW;25.07213425;121.679919;3.343692308;Manufacturer;Taipei;Taiwan;0;0;0;0;0;0;0;0;0;0;34500;0
SHA;31.2323437;121.4691024;3.423384615;Manufacturer;Shanghai;China;234500;802783.6922;79500;272159.0769;234500;0;79500;0;34534;0;0;0
ATVIE;48.1103;16.5696;6.533884615;Cross Dock;Vienna;Austria;100000;653388.4615;1000;6533.884615;0;0;0;0;0;0;0;0
PLGDN;54.3617;18.6514;4.302269231;Cross Dock;Gdansk;Poland;134500;578655.2116;78500;337728.1346;234500;0;79500;0;34534;0;34500;0
FRCDG;49.0097;2.5479;5.675923077;Cross Dock;Paris Charles-de-Gaulle Airport;France;0;0;0;0;0;0;0;0;0;0;0;0
PED;50.029;15.809;4.768269231;Distribution;Pardubice;Czechia;45000;214572.1154;16500;78676.44231;45000;0;24000;0;25000;0;41500;0
FR6216;50.3343;2.929;5.675923077;Distribution;Fresnes-les-Montauban;France;62000;351907.2308;62000;351907.2308;62000;0;55500;0;54500;0;18000;0
RIX;56.896;24.046;4.426038462;Distribution;Riga;Latvia;27500;121716.0577;60000;265562.3077;27500;0;60000;0;60000;0;75000;0
GMZ;38.044;23.799;7.0865;Distribution;Athens;Greece;100000;708650;96000;680304;100000;0;95000;0;95000;0;100000;0
FFSVQ;47.9556915;-1.495366;0;Retailer;Janze;France;7000;0;7000;0;7000;0;7000;0;7000;0;7000;0
VWDRE;35.77341755;27.18143074;0;Retailer;Karpathos;Greece;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0
TWKZB;37.9839412;23.7283052;0;Retailer;Athens;Greece;114500;0;114500;0;114500;0;114500;0;114500;0;114500;0
FLDNI;45.7479563;-0.338561373;0;Retailer;Cherves-de-Cognac;France;3000;0;3000;0;3000;0;3000;0;3000;0;3000;0
XGUTS;48.2242434;11.6715263;0;Retailer;Ismaning;Germany;16500;0;16500;0;16500;0;16500;0;16500;0;16500;0
FLXXC;51.7834994;-0.894644054;0;Retailer;Dinton;United Kingdom;6500;0;6500;0;6500;0;6500;0;6500;0;6500;0
ALKFM;48.7858921;3.0292059;0;Retailer;Coulommiers;France;500;0;500;0;500;0;500;0;500;0;500;0
KSJER;53.6736529;10.2358999;0;Retailer;Ahrensburg;Germany;22000;0;22000;0;22000;0;22000;0;22000;0;22000;0
GXEQH;54.8982139;23.9044817;0;Retailer;Kaunas;Lithuania;13000;0;13000;0;13000;0;13000;0;13000;0;13000;0
OAHLE;40.7134491;-8.4825639;0;Retailer;Albergaria-a-Vela;Portugal;1000;0;1000;0;1000;0;1000;0;1000;0;1000;0
ISNQE;38.8735511;-9.0785504;0;Retailer;Vialonga;Portugal;44000;0;44000;0;44000;0;44000;0;44000;0;44000;0
NAAVF;63.2467777;25.9209164;0;Retailer;Pihtipudas;Finland;500;0;500;0;500;0;500;0;500;0;500;0
CZMCT;50.0755;14.4378;4.768269231;OptionalSource;Prague;Czechia;0;0;0;0;0;0;0;0;25000;0;25000;0
HUDTG;47.4979;19.0402;4.709615385;OptionalSource;Budapest;Hungary;0;0;50000;235480.7693;0;0;50000;0;50000;0;50000;0
IEILG;53.3498;-6.2603;7.926307692;OptionalSource;Dublin;Ireland;0;0;0;0;0;0;0;0;19966;0;20000;0
FIMPF;60.1699;24.9384;4.841307692;OptionalSource;Helsinki;Finland;0;0;60000;290478.4615;0;0;60000;0;60000;0;60000;0
PLZCA;52.2297;21.0122;4.302269231;OptionalSource;Warsaw;Poland;0;0;45000;193602.1154;0;0;45000;0;45000;0;45000;0
